,jobTitle,company,location,salary,shift,workTime
0,Software Developer - AI Trainer (Contract),DataAnnotation,"Remote in Camden, NJ",From $40 an hour,Contract,
1,Outsourced IT Senior Manager,EisnerAmper LLP,"Iselin, NJ 08830",Full-time,,
2,Quality Assurance Manager,Blinds To Go,"Township of Brick, NJ","$68,000 - $80,000 a year",Full-time,"Monday to Friday
+2"
3,Information Systems Supervisor,McLane Company,New Jersey,Full-time,,
4,IT Support Technician,Electronic Concepts Inc,"Eatontown, NJ 07724",From $25 an hour,Full-time,8 hour shift
5,"Director, Global Drug Safety & Pharmacovigilance Physician",Genmab,"Princeton, NJ 08542",Full-time,,
6,Desk Side Technician – Asset Management,HCLTech,"Plainsboro, NJ 08536",$28 an hour,Full-time,"Monday to Friday
+2"
7,Business Intelligence Analyst III,South Jersey Industries,"Folsom, NJ",Full-time,,
8,IT Support Specialist II- MSP,Profulgent Technology,"Hazlet, NJ","From $60,000 a year",Full-time,"Monday to Friday
+3"
9,Tier1/Tier2 Desktop Engineer,System One,"Cedar Knolls, NJ 07927","$70,000 a year",,
10,"Media and Web Work, Content Producers and Scheduler, Graphic Design & Text, Etc.",Hope of the World Ministries,"Wayne, NJ 07470",From $25 an hour,Full-time,"Monday to Friday
+1"
11,Product Tester,"SGS North America, Inc.","Union, NJ 07083",Up to $350 a week,"Contract
+1",Choose your own hours
12,Desktop Support Technician (AH),Rekall Technologies,"Matawan, NJ","$50,000 - $60,000 a year",Full-time,"8 hour shift
+1"
13,Appliance Technical Support Specialist - Appliance Industry,Smeg USA,"Hybrid work in Kearny, NJ 07032",$40 - $45 an hour,Full-time,"Monday to Friday
+1"
14,"VP, Enterprise Planning Solutions - PVH Corp.",PVH,"Hybrid work in Bridgewater, NJ 08807",Full-time,,
15,"Product Owner, Distribution Products",Tandym Group,Remote in New Jersey,$50 - $70 an hour,Contract,
16,IT Support -- Level 1,Interact Engineering LLC,"Whippany, NJ 07981","Full-time
+1","Monday to Friday
+2",
17,Shopify Developer,Soccer Post,"Eatontown, NJ 07724",$18 - $25 an hour,Full-time,
18,"Tech Apprentice, Data Services",WebMD,"Newark, NJ 07102 
(Central Business District area)",Internship,,
19,Tech Business Analyst,JPMorgan Chase & Co,"Jersey City, NJ 07310 
(The Waterfront area)","$97,850 - $150,000 a year",Full-time,
20,Tech Business Analyst,JPMorgan Chase & Co,"Jersey City, NJ 07310 
(The Waterfront area)",,,
21,Platinion IT Architect,Boston Consulting Group,New Jersey,"$110,000 a year",,
22,Entry Level Android Developer,Mobileappsus,Remote in New Jersey,,,
23,IT Specialist - Electronic Health Record (Oracle Cerner),Jewish Family Service,New Jersey,Full-time,,
24,Technical Support Agent,EROAD,New Jersey,Full-time,,
25,Sr. Software Developer,General Dynamics Information Technology,"Egg Harbor Township, NJ 08234","$92,331 - $154,211 a year",,
26,Customer Care Data Modeling Specialist,Iron Mountain,"Remote in Trenton, NJ 08629",$24 an hour,,
27,Salesforce Technical Architect(FULL TIME),"ProIT,Inc","Parsippany, NJ","$100,584.87 - $141,134.47 a year",Full-time,"Monday to Friday
+1"
28,Technology Support Coordinator,NJ Transit,"Newark, NJ 07105 
(Ironbound area)",,,
29,Technology Professional -Contact Center,PSEG,"Hybrid work in Newark, NJ 07101","$56,100 - $84,200 a year",,
30,Desktop Support Technician - Hybrid,IT Network Solutions,"Hybrid work in Cranbury, NJ 08512",,,
31,Desk Side Technician – Asset Management,HCLTech,"Plainsboro, NJ 08536",$28 an hour,Full-time,"Monday to Friday
+2"
32,IT Analyst,Affiliated Monitoring,"Union, NJ 07083",,,
33,Business Analyst,JPMorgan Chase & Co,"Jersey City, NJ 07310 
(The Waterfront area)","$167,500 - $190,000 a year",Full-time,
34,Data Coordinator - Full-Time,Hackensack Meridian Health,"Hackensack, NJ 07601",,,
35,Jr. Network Admin,HarveyNash,"Union, NJ 07083",,,
36,Insurance Help Desk Associate,CarePoint Health,"Jersey City, NJ 07306 
(The Heights area)",,,
37,Systems Administrator I,DYOPATH,"Hybrid work in Branchburg, NJ",Up to $60 an hour,"Monday to Friday
+2",
38,IT Technician (Part-Time),Graham Behavior Services,"Hybrid work in West Long Branch, NJ 07764",From $25 an hour,Part-time,"Monday to Friday
+2"
39,Medical Economics Analyst,Healthcare Support,"Newark, NJ 07105","$84,700 a year",,
40,Cybersecurity consultants,Business Security Consultants,New Jersey,,,
41,Technology Program Manager,JPMorgan Chase & Co,"Jersey City, NJ 07310 
(The Waterfront area)","$137,750 - $190,000 a year",Full-time,
42,Jr. Systems Administrator,Mid Atlantic Mechanical,"Millstone, NJ",$24 - $27 an hour,Full-time,"Monday to Friday
+4"
43,Hiring Fresh Software Engineers,CEDENT,"Bridgewater, NJ",,,
44,Business Analysis and Reporting Analyst,JPMorgan Chase & Co,"Jersey City, NJ 07310 
(The Waterfront area)",,,
45,Cloud Computing Analyst,Bristol-Myers Squibb,"Princeton, NJ",,,
46,Jr. Systems Administrator,Mid Atlantic Mechanical,"Millstone, NJ",$24 - $27 an hour,Full-time,"Monday to Friday
+4"
47,Hiring Fresh Software Engineers,CEDENT,"Bridgewater, NJ",,,
48,Business Analysis and Reporting Analyst,JPMorgan Chase & Co,"Jersey City, NJ 07310 
(The Waterfront area)",,,
49,Data & Analytics Technology Professional,PSEG,"Hybrid work in Newark, NJ 07101","$56,100 - $84,200 a year",,
50,"Project Employee, Technical Support",the NBA,"Secaucus, NJ 07094",,,
51,Onsite Cybersecurity Analyst,Canopy Life Sciences LLC,"Bridgewater, NJ 08807",,,
52,Help Desk Representative Tier 1- Temporary Part-time,Blackwood Campus,"Blackwood, NJ",,,
53,CSEDS Quality Engineer,Lockheed Martin Corporation,"Moorestown, NJ",Full-time,,
54,"Lead, Tech Lead",Prudential,"Newark, NJ 07102 
(Central Business District area)","$135,100 - $201,000 a year",Full-time,
55,"Identity Systems Administrator (AD, IGA, DNS)",NBCUniversal,"Englewood Cliffs, NJ 07632","$70,000 - $90,000 a year",,
56,Front End Web Designer,"PNY Technologies, Inc.","Parsippany, NJ 07054",,,
57,IT Operations Analyst I,"iconectiv, LLC.","Hybrid work in Bridgewater, NJ",Full-time,"Weekends as needed
+2",
58,IT Operations Analyst I,Hackensack Meridian Health,"Neptune City, NJ 07753",Full-time,,
59,Help Desk Technician I,Allstate Sales Group Inc,"Holmdel, NJ 07733",$18 - $19 an hour,Full-time,
60,Customer Tech Support,Index Engines Inc.,"Holmdel, NJ",,,
61,Health Data Specialist,Biogensys,"Township of Hamilton, NJ 08610 
(Villa Park area)",$47.25 an hour,"Full-time
+2","Monday to Friday
+2"
62,"Scientist, Cheminformatics - Machine Learning & Artificial Intelligence",Bristol-Myers Squibb,"Princeton, NJ",,,
63,AC Power Customer Engineer - Edison,Vertiv Group Corp,"Edison, NJ","Weekends as needed
+1",,
64,IT Support Specialist,Vollers Inc.,"North Branch, NJ",,,
65,Data Management - Vice President,JPMorgan Chase & Co,"Jersey City, NJ 07310 
(The Waterfront area)","$118,750 - $205,000 a year",Full-time,
66,IT Technician,Sol Computers llc,New Jersey,,,
67,Help Desk Analyst,"Community Options, Inc.","Princeton, NJ 08540","$50,000 a year",Full-time,
