,0,1,2,3,4,5
0,0,1,2,0,0,Data Analsyt
1,Board Certified Behavior Analyst (BCBA),Educational Partnership for Instructing Children,"Paramus, NJ 07652",0,0,Data Analsyt
2,Board Certified Behavioral Analyst,"PAFACOM, INC","Hybrid work in Vineland, NJ 08360",81858,86789,Data Analsyt
3,Senior Search Engine Optimization Analyst,Conduit Digital,"Bayville, NJ 08721",54000,72000,Data Analsyt
4,Business Analyst (Information Technology Analyst 2),New Jersey Courts,"Trenton, NJ 08611 
(Downtown area)",64964,104621,Data Analsyt
5,Entry Level Sales Operations Analyst,FOCO,"Piscataway, NJ 08854",40000,45000,Data Analsyt
6,Healthcare Financial Analyst,Bancroft,"Cherry Hill, NJ 08034 
(Erlton-Ellisburg area)",0,0,Data Analsyt
7,Senior Complex Claims Analyst - Severity,AIG,"Jersey City, NJ",80000,105000,Data Analsyt
8,Board Certified Behavior Analyst,Legacy Treatment Services Group,"Hainesport, NJ 08036",82000,84000,Data Analsyt
9,Sales Operations Analyst (Remote),Stryker Corporation,"Remote in Mahwah, NJ 07430",0,0,Data Analsyt
10,Collections Account Analyst,Excel Elevator Corporation,"Secaucus, NJ 07094",22,26,Data Analsyt
11,"Analyst, Enterprise Payments (1 of 2)",Johnson & Johnson,"Raritan, NJ",61000,97750,Data Analsyt
12,CTMS Analyst (Remote),WCG,"Remote in Princeton, NJ",0,0,Data Analsyt
13,Information Technology Analyst 2,New Jersey Courts,"Hybrid work in Trenton, NJ 08611",64964,110127,Data Analsyt
14,BALENCIAGA Financial Analyst | Wayne New Jersey,Groupe Kering,"Wayne, NJ",0,0,Data Analsyt
15,Contract Analyst (Remote),WCG,"Remote in Princeton, NJ",0,0,Data Analsyt
16,24-11-S Administrative Analyst 3,NJ Office of Homeland Security and Preparedness,"Hybrid work in Township of Hamilton, NJ 08691",0,0,Data Analsyt
17,Process Analyst - Customer Operations,PSEG,"Hybrid work in Newark, NJ 07101",88400,140000,Data Analsyt
18,Hospital Business Intelligence Analyst,Hudson Regional Hospital,"Secaucus, NJ 07094",0,0,Data Analsyt
19,Venture Capital Analyst (Entry-Level),Tiercel Partners,"Princeton, NJ",0,0,Data Analsyt
20,24-13-S Cybersecurity Analyst 1 (Intelligence Analyst Apprentice),NJ Office of Homeland Security and Preparedness,"Hybrid work in Township of Hamilton, NJ 08691",0,0,Data Analsyt
21,Management and Program Analyst,US Federal Aviation Administration,"Atlantic City, NJ",80481,124753,Data Analsyt
22,Allocations Analyst Development Program - 2024 Start Dates,Burlington Stores,"Hybrid work in Burlington, NJ 08016",65000,65000,Data Analsyt
23,IT Business Lead Analyst,Citi,"Jersey City, NJ 07310 
(The Waterfront area)",168019,168019,Data Analsyt
24,Data Analyst,PACO Group,New Jersey,0,0,Data Analsyt
25,Analyst - Waving,Tiffany & Co.,"Whippany, NJ",0,0,Data Analsyt
26,Solutions Analyst III,JPMorgan Chase & Co,"Jersey City, NJ 07310 
(The Waterfront area)",0,0,Data Analsyt
27,Trading Analyst,TD Bank,"Cherry Hill, NJ",76128,124800,Data Analsyt
28,Desktop Support Analyst (Information Technology Analyst 2),New Jersey Courts,"Hybrid work in Trenton, NJ 08611",64964,110127,Data Analsyt
29,Data Quality Analyst,FlightSafety International,New Jersey,0,0,Data Analsyt
30,Operations Analyst,National Retail Transportation,"North Bergen, NJ 07047",0,0,Data Analsyt
31,Security Awareness Analyst / Warren NJ,"Everest Re Group, Ltd.","Hybrid work in Warren, NJ",0,0,Data Analsyt
32,Administrative Analyst III,Rutgers University,"Newark, NJ 07102 
(University Heights area)",68274,68274,Data Analsyt
33,"Data Analyst, Compliance",Bausch + Lomb,"Bridgewater, NJ 08807",0,0,Data Analsyt
34,Quality Control Analyst II,Johnson & Johnson,"Titusville, NJ",0,0,Data Analsyt
35,Cyber Risk Analyst,Brown Brothers Harriman,"Jersey City, NJ",0,0,Data Analsyt
36,Title Analyst,Freedom Mortgage,"Remote in Marlton, NJ 08053",0,0,Data Analsyt
37,Data Analyst,Chubb,"Jersey City, NJ",0,0,Data Analsyt
38,Board Certified Behavior Analyst (BCBA),Devereux Advanced Behavioral Health,"Sicklerville, NJ 08081",77000,81000,Data Analsyt
39,Formulary Operations Analyst,RxSense,"Princeton, NJ",0,0,Data Analsyt
40,Business Application Analyst III (Solutions Support Team),TD Bank,"Mount Laurel, NJ 08054",0,0,Data Analsyt
41,Project Analyst,Colgate-Palmolive,"Hybrid work in Piscataway, NJ",81000,114000,Data Analsyt
42,Systems Analyst,Creed Infotech,"Jersey City, NJ 07302 
(The Waterfront area)",0,0,Data Analsyt
43,Technology Strategy and Execution - Business Analyst,JPMorgan Chase & Co,"Jersey City, NJ 07310 
(The Waterfront area)",0,0,Data Analsyt
44,AWS Web SysOps Analyst,Colgate-Palmolive,"Hybrid work in Piscataway, NJ",102400,151200,Data Analsyt
45,Programmer Analyst I,Rutgers University,"Hybrid work in Somerset, NJ",103537,103537,Data Analsyt
46,Trading Implementation Analyst - Separately Managed Accounts,JPMorgan Chase & Co,"Hybrid work in Jersey City, NJ 07310",74850,95300,Data Analsyt
47,Supply Chain Customer Collaboration Analyst,Colgate-Palmolive,"Hybrid work in Piscataway, NJ",81200,114000,Data Analsyt
48,Equity Investment Analyst,NJM Insurance Group,"Hybrid work in West Trenton, NJ 08628",0,0,Data Analsyt
49,Logistics Analyst,National Retail Transportation,"Lyndhurst, NJ 07071",0,0,Data Analsyt
50,Sales Analyst,Citco,"Jersey City, NJ",68000,94000,Data Analsyt
51,IT Business Analyst I,NFI Industries,"Camden, NJ 08102",0,0,Data Analsyt
52,iCIMS Business Analyst,Nava,"Parsippany, NJ 07054",0,0,Data Analsyt
53,Part-Time Microsoft Excel Analyst,Advisors Capital Management,"Hybrid work in Ridgewood, NJ 07450",0,0,Data Analsyt
54,Mergers & Acquisitions Analyst,"World Insurance Associates, LLC.","Iselin, NJ 08830",0,0,Data Analsyt
