,0,1,2,3,4,5
0,0,1,2,0,0,Data Scientist
1,Computational AI Data Scientist,Ashland,"Bridgewater, NJ",0,0,Data Scientist
2,Data Scientist,EmployVision,"Morris County, NJ",0,0,Data Scientist
3,Shortage Data Scientist I,Burlington Stores,"Hybrid work in Burlington, NJ 08016",80000,105000,Data Scientist
4,Senior Data Scientist,BEHAVIORALLY INC,"Teaneck, NJ 07666",0,0,Data Scientist
5,Senior Data Scientist,Johnson & Johnson,"Raritan, NJ",113000,170000,Data Scientist
6,Data Scientist,Valley National Bank,"Morristown, NJ 07960",0,0,Data Scientist
7,Senior Data Scientist,Shipt,New Jersey,0,0,Data Scientist
8,Data Scientist,Oncorre,"Bridgewater, NJ 08807",0,0,Data Scientist
9,NGSE Data Scientist,Zoetis,"Parsippany, NJ 07054",0,0,Data Scientist
10,Principal Data Scientist,"Everest Re Group, Ltd.","Warren, NJ",0,0,Data Scientist
11,Senior Principal Data Scientist,Johnson & Johnson,"Raritan, NJ",135000,202000,Data Scientist
12,"Vice President, Chief Data Scientist",Prudential,"Newark, NJ 07102 
(Central Business District area)",0,0,Data Scientist
13,Data Scientist W2 ONLY,Creed Infotech,"Jersey City, NJ 07302 
(The Waterfront area)",0,0,Data Scientist
14,Senior Data Scientist,Campbell Soup Company,"Camden, NJ 
(Gateway area)",0,0,Data Scientist
15,"IT Director, Applications and Data (Fully Remote)","NIP Group, Inc.","Remote in Woodbridge, NJ 07095",0,0,Data Scientist
16,"IT Director, Applications and Data (Fully Remote)","NIP Group, Inc.","Remote in Woodbridge, NJ 07095",0,0,Data Scientist
17,Lead Data Scientist - Clinical Data & Analytics,Novo Nordisk,"Princeton, NJ",0,0,Data Scientist
18,Senior Data Scientist,WTW,"Fort Lee, NJ 07024",0,0,Data Scientist
19,"Scientist, Cheminformatics - Machine Learning & Artificial Intelligence",Bristol-Myers Squibb,"Princeton, NJ",0,0,Data Scientist
20,Applied AI / ML Sr Associate,JPMorgan Chase & Co,"Jersey City, NJ 07310 
(The Waterfront area)",135000,165000,Data Scientist
21,Senior Data Scientist,Chubb,"Jersey City, NJ",80500,137000,Data Scientist
22,Senior BI and Data Analyst,Novo Nordisk,"Plainsboro, NJ",0,0,Data Scientist
23,Senior Scientist NLP,Viatouch Media Inc,"Little Ferry, NJ 07643",0,0,Data Scientist
24,"Staff, Data Scientist",Walmart,"Hybrid work in Hoboken, NJ 07030",132000,264000,Data Scientist
25,Training and Placement on AI/ML,Triunity Software,"Princeton, NJ 08540",35,60,Data Scientist
26,Sr. Data Analyst,WebMD,"Newark, NJ 07102 
(Central Business District area)",0,0,Data Scientist
27,Principal Data Scientist,Dun & Bradstreet,"Florham Park, NJ",0,0,Data Scientist
28,Temporary Data and Machine Learning Engineer,IEEE Corporate,"Piscataway, NJ",0,0,Data Scientist
29,Machine Learning Engineer,Sonder Research X,"North Brunswick, NJ 08902",0,0,Data Scientist
30,Senior Data Analyst,"Care Plus NJ, Inc.","Paramus, NJ",0,0,Data Scientist
31,Senior Data Analyst,"Care Plus NJ, Inc.","Paramus, NJ",0,0,Data Scientist
32,Data Curation Scientist,Princeton University,"Princeton, NJ 08544",0,0,Data Scientist
33,Manager Data Science & Analytics,MondelÄ“z International,Remote in New Jersey,0,0,Data Scientist
34,Senior Scientist Research Computing - Data Scientist (Biomedical and Clinical Informatics),Rutgers University,"Hybrid work in Piscataway, NJ 08854",0,0,Data Scientist
35,Open Rank - Data Science Research,Rutgers University,"Newark, NJ 07102 
(University Heights area)",0,0,Data Scientist
36,Senior Bank Operations Data Analyst,Federal Home Loan Bank of New York,New Jersey,130000,145000,Data Scientist
37,NLP Annotation Judge,Ascendion,"Basking Ridge, NJ",26000,36000,Data Scientist
38,AI Machine Learning Engineer,Johnson & Johnson,"Titusville, NJ",104000,145000,Data Scientist
39,"Manager, Statistical Programming",Bristol-Myers Squibb,"Township of Lawrence, NJ",0,0,Data Scientist
40,Data Product Machine Learning Engineer,Tradeweb Markets LLC,"Jersey City, NJ 07097 
(The Heights area)",0,0,Data Scientist
41,Senior Data Scientist,Combined Insurance,"Jersey City, NJ",0,0,Data Scientist
42,Senior Data Scientist- Data Reporting and Analysis,The Port Authority of New York and New Jersey...,"Jersey City, NJ 07306 
(Journal Square area)",0,0,Data Scientist
43,Postdoctoral Scientist (NLP/ML),Johnson & Johnson,"Titusville, NJ",95000,95000,Data Scientist
44,Senior Data Scientist - Finance and Actuarial,Prudential,"Hybrid work in Newark, NJ 07102",99000,163200,Data Scientist
45,"SENIOR ASSOCIATE, Data Analyst",New York Life Insurance Co,"Hybrid work in Lebanon, NJ",148000,148000,Data Scientist
46,Statistical Programming,Intone Networks,"Parsippany, NJ",0,0,Data Scientist
47,Applied ML and Gen AI BootCamp,Triunity Software,"Princeton, NJ 08540",0,0,Data Scientist
48,"(USA) Senior, Data Scientist (Computer Vision Engineer)",Walmart,"Hoboken, NJ 07030",108000,216000,Data Scientist
49,"AI&Data - Media & Entertainment, SpM",Deloitte,"Morristown, NJ 07960",0,0,Data Scientist
50,Lead Data Scientist,ADP,"Roseland, NJ 07068",0,0,Data Scientist
51,Data Science Engineer,ZS,"Princeton, NJ 08540",0,0,Data Scientist
52,"Senior Scientist, Translational Data Science",Genmab,"Princeton, NJ 08540",0,0,Data Scientist
53,"Director, Data Science",Prudential,"Hybrid work in Newark, NJ 07102",173500,234700,Data Scientist
54,"(USA) Principal, Data Scientist",Walmart,"Hoboken, NJ 07030",132000,264000,Data Scientist
55,Sr. Quality Control Scientist (Data Integrity and Lab Compliance),Lilly,"Branchburg, NJ 08876",0,0,Data Scientist
56,Airport Operations Research Analyst / Data Scientist - Staff 1,"Applied Research Associates, Inc","Egg Harbor Township, NJ",0,0,Data Scientist
57,Manager - Data Science,Burlington Stores,"Edgewater Park, NJ 08010",115000,150000,Data Scientist
58,Statistical Programmer,TK-CHAIN LLC,"Princeton, NJ 08540",80000,130000,Data Scientist
59,"Senior Scientist, Computer Vision, Translational Data Science",Genmab,"Princeton, NJ 08540",0,0,Data Scientist
60,Statistical Programmer,Katalyst Healthcares & Life Sciences,"Nutley, NJ 07110",0,0,Data Scientist
61,Vice President - Client Strategy and Finance Data Scientist Lead,JPMorgan Chase & Co,"Jersey City, NJ 07310 
(The Waterfront area)",142500,210000,Data Scientist
62,NLP Engineer,ZS Associates,"Princeton, NJ",142500,142500,Data Scientist
63,Data Science Principal Engineer,Verizon,"Basking Ridge, NJ",137000,255000,Data Scientist
64,Data Science Senior Manager,Verizon,"Basking Ridge, NJ",137000,255000,Data Scientist
65,"IT Lead - Computer Vision, AI/ML, OCR",Johnson & Johnson,"Raritan, NJ",104000,145000,Data Scientist
66,Principal Statistical Programmer (Remote),WCG,"Remote in Princeton, NJ",0,0,Data Scientist
67,Data Science Lead Analyst,Citi,"Hybrid work in Jersey City, NJ 07310",0,0,Data Scientist
68,"(USA) Senior, Data Scientist",Walmart,"Hoboken, NJ 07030",108000,216000,Data Scientist
69,Senior Clinical Data Analyst,Hackensack Meridian Health,"Edison, NJ 08837",0,0,Data Scientist
70,Postdoctoral Research Associate - AI/Machine Learning for Illicit Drug Identification,Princeton University,"Princeton, NJ 08544",0,0,Data Scientist
71,Applied AI ML - Senior Associate,JPMorgan Chase & Co,"Jersey City, NJ 07310 
(The Waterfront area)",0,0,Data Scientist
72,AI Engineer,Chubb,"Jersey City, NJ",78000,125500,Data Scientist
73,AI GPT Technical Architect,Scott L. Page & Associates,"Edison, NJ",0,0,Data Scientist
74,"Manager, Data Scientist",Campbell Soup Company,"Camden, NJ 
(Gateway area)",0,0,Data Scientist
75,"Data Strategy, Management and Solutions, Executive Director",JPMorgan Chase & Co,"Jersey City, NJ 07310 
(The Waterfront area)",175750,260000,Data Scientist
76,"Manager, Statistical Programming",Regeneron Pharmaceuticals Inc.,"Hybrid work in Basking Ridge, NJ",0,0,Data Scientist
77,Sr Prin Clinical Data Scientist (Prog Data Mgr),Novartis,"Hybrid work in East Hanover, NJ 07936",0,0,Data Scientist
