,0,1,2,3,4,5
0,0,1,2,0,0,Software Developer
1,Junior Software Engineer,"Bryco,LLC","Township of Jackson, NJ",42000,55000,Software Developer
2,Front End Web Designer,"PNY TECHNOLOGIES, INC.","Parsippany, NJ 07054",0,0,Software Developer
3,Jr SQL Dev/Data Engineering/.Net,VForce InfoTech,"Hybrid work in Edison, NJ 08837",60000,90000,Software Developer
4,Journeyman Telecommunications Deployment Engineer,Govcio LLC,"Newark, NJ 07102 
(Central Business District area)",70000,70000,Software Developer
5,Software Developer,Binary Computer Int'l Corp,"South Plainfield, NJ 07080",0,0,Software Developer
6,FIX C++ Developer,Tradeweb Markets LLC,"Remote in Jersey City, NJ 07097",120000,240000,Software Developer
7,Sr. Software Developer,Binary Computer Int'l Corp,"South Plainfield, NJ 07080",142563,142563,Software Developer
8,Software Developer,Softnet Consulting,"Princeton, NJ 08540",0,0,Software Developer
9,"Software Developer for Clifton, NJ",Spruce Technology,"Clifton, NJ 07012",0,0,Software Developer
10,Front-end Developer,EarthCam,"Upper Saddle River, NJ 07458",0,0,Software Developer
11,Application Developer II,Rutgers University,"Hybrid work in Somerset, NJ",103537,103537,Software Developer
12,Python Developer,Prama AI,New Jersey,40,60,Software Developer
13,.Net Developer-New Jersey-USA,Park Lane Recruitment,Hybrid work in New Jersey,140000,150000,Software Developer
14,Software Engineer - Associate,Sumitomo Mitsui Banking Corporation,"Jersey City, NJ 07311 
(Downtown area)",0,0,Software Developer
15,Sr .Net Developer,Zodiac Solutions,"Pennington, NJ 08534",95720,115276,Software Developer
16,MERN Stack Developer,"Pacavo IT Consulting, Inc.","Ridgefield Park, NJ 07660",0,0,Software Developer
17,"Application Developer, Associate- H/F/X",Soci̩t̩ G̩n̩rale,"Hybrid work in Jersey City, NJ",65000,160000,Software Developer
18,Nodejs Developer,Nile Bits,"Holmdel, NJ 07733",0,0,Software Developer
19,Java developer with HIPAA & HL7,Raag Solutions,New Jersey,0,0,Software Developer
20,Web & Content Developer,The Summit Area YMCA,"Summit, NJ 07901",0,0,Software Developer
21,Full Stack Nodejs Developer,Nile Bits,"Holmdel, NJ 07733",0,0,Software Developer
22,Python-Jenkins SW Developer,"ATEC, LLC","Egg Harbor Township, NJ 08234",0,0,Software Developer
23,"Microsoft Web Developer (.Net Core, C#, SQL Server, AWS, Angular )",SG Systems,New Jersey,0,0,Software Developer
24,Web/Digital Assets Developer Lead,Aon Corporation,Remote in New Jersey,0,0,Software Developer
25,Software Developer,Kavayah Solutions,"Princeton, NJ 08540",0,0,Software Developer
26,Microsoft Stack Developer I,Spencer's,"Egg Harbor Township, NJ",0,0,Software Developer
27,Manager- Web Development,Commvault,New Jersey,85000,212800,Software Developer
28,Software Engineering Advisor,The Cigna Group,"Morris Plains, NJ 07950",0,0,Software Developer
29,Quantitative Developer,AXQ Capital,"Jersey City, NJ",0,0,Software Developer
30,Software Engineer,JPMorgan Chase & Co,"Jersey City, NJ 07310 
(The Waterfront area)",143291,180000,Software Developer
31,Software Engineers,Fusion Plus Solutions Inc.,"Edison, NJ 08817",0,0,Software Developer
32,Programmer Analyst,TodayAmerica,"Hazlet, NJ",0,0,Software Developer
33,Staff Software Engineer (AWS CDK + TypeScript),NBCUniversal,"Remote in Englewood Cliffs, NJ 07632",0,0,Software Developer
34,Sr. Application Developer- Customer Experience (Hybrid),Selective Insurance Company of America,"Branchville, NJ 07890",90000,130000,Software Developer
35,Full-Stack Developer,Edgewood Properties,"South Plainfield, NJ 07080",0,0,Software Developer
36,Software Engineering/Development: Information Security Coordinator,Canfield Scientific,"Parsippany, NJ 07054",0,0,Software Developer
37,Software Engineer (Level 3),Thunderbolt Logistics,"Mullica Hill, NJ",0,0,Software Developer
38,Jr AEM Developer - Fulltime,Maxisclinical,"Somerset, NJ",0,0,Software Developer
39,Training and Placement on AI/ML,Triunity Software,"Princeton, NJ 08540",0,0,Software Developer
40,Software Engineers,Fusion Plus Solutions Inc.,"Edison, NJ 08817",0,0,Software Developer
41,Software Engineer II - QA Testing Automation,JPMorgan Chase & Co,"Jersey City, NJ 07310 
(The Waterfront area)",114000,140000,Software Developer
42,"Software Developers, Hackensack, NJ",Indus Group,"Hackensack, NJ 07601",0,0,Software Developer
43,Full Stack Developer,MEDIDATA,"Iselin, NJ",0,0,Software Developer
44,JIRA Developer,CoreWeave,"Hybrid work in Roseland, NJ",110000,145000,Software Developer
45,Application Developer III,Rutgers University,"Hybrid work in Somerset, NJ",124237,124237,Software Developer
46,Magento Developer,Nile Bits,"Holmdel, NJ 07733",0,0,Software Developer
47,Software Engineering/Development: Clinical Software Web Developer,Canfield Scientific,"Parsippany, NJ 07054",0,0,Software Developer
48,"Manager, Software Quality Engineering",Fidelity Payment Services,"Township of Howell, NJ 07731",145000,165000,Software Developer
49,Full Stack Developer,GalaxE.Solutions,"Mount Laurel, NJ 08054",0,0,Software Developer
50,"8+ years Python Developer - Jersey City, New Jersey (Hybrid Role - Only w2)",Lethya Group Inc,"Jersey City, NJ 07302 
(Downtown area)",0,0,Software Developer
51,End User Support Engineer II - (Jersey City),Caesars Entertainment,"Jersey City, NJ",0,0,Software Developer
52,"Sr Mgr, Software Development Engineering",CVS Health,"Remote in Trenton, NJ",124372,247200,Software Developer
53,AI Machine Learning Engineer,Johnson & Johnson,"Titusville, NJ",104000,145000,Software Developer
54,Magento Developer,Exemplar ITS,"Parsippany, NJ 07054",0,0,Software Developer
55,Oracle PL/SQL Developer,fynbosys,"Jamesburg, NJ",0,0,Software Developer
56,Associate Application Software Developer,ASRC Federal Holding Company,"Moorestown, NJ 08057",0,0,Software Developer
57,"Front End Engineer, ECS Console","Amazon Development Center U.S., Inc.","Jersey City, NJ",0,0,Software Developer
58,IOS Developer,Adidev Technologies Inc,"Jersey City, NJ",0,0,Software Developer
59,Full Stack Developer,Barclays,"Whippany, NJ 07981",0,0,Software Developer
